road_id,hour,speed,congestion_status
Haliç-Bridge,8,7,LOCKED
E5-Bridge,20,11,HEAVY
E5-Bridge,12,20,HEAVY
E5-Beylikduzu,0,40,HEAVY
Basin-Ekspres,10,9,HEAVY
Basin-Ekspres,17,52,NORMAL
E5-Bridge,11,78,NORMAL
Tem-Seyrantepe,11,20,HEAVY
E5-Bridge,10,46,NORMAL
Besiktas-Coast,9,30,LOCKED
Haliç-Bridge,0,113,NORMAL
Kadikoy-Center,17,15,LOCKED
Besiktas-Coast,20,8,LOCKED
Tem-Kavacik,2,80,NORMAL
Levent-Buyukdere,11,114,NORMAL
Besiktas-Coast,16,113,NORMAL
Tem-Kavacik,5,112,NORMAL
Sahil-Kennedy,21,120,NORMAL
Kadikoy-Center,20,16,LOCKED
Kadikoy-Center,5,97,NORMAL
E5-Bridge,9,28,LOCKED
Sahil-Kennedy,23,98,NORMAL
Basin-Ekspres,15,104,NORMAL
Minibus-Yolu,6,92,NORMAL
Levent-Buyukdere,16,91,NORMAL
Tem-Kavacik,20,12,HEAVY
Tem-Seyrantepe,13,79,NORMAL
Haliç-Bridge,6,86,NORMAL
E5-Beylikduzu,6,80,NORMAL
Levent-Buyukdere,0,88,NORMAL
Bagdat-Caddesi,15,113,NORMAL
Haliç-Bridge,19,26,HEAVY
E5-Beylikduzu,2,92,NORMAL
Minibus-Yolu,4,120,NORMAL
Minibus-Yolu,4,87,NORMAL
Tem-Seyrantepe,0,94,NORMAL
Minibus-Yolu,7,34,NORMAL
Besiktas-Coast,14,113,NORMAL
Sahil-Kennedy,19,32,NORMAL
Kadikoy-Center,10,22,LOCKED
Tem-Seyrantepe,8,48,NORMAL
Kadikoy-Center,7,24,LOCKED
Bagdat-Caddesi,0,89,NORMAL
Minibus-Yolu,3,93,NORMAL
Tem-Kavacik,22,72,NORMAL
Bagdat-Caddesi,13,85,NORMAL
E5-Beylikduzu,23,39,HEAVY
E5-Beylikduzu,13,90,NORMAL
Sahil-Kennedy,3,95,NORMAL
Tem-Kavacik,4,80,NORMAL
Tem-Kavacik,17,44,NORMAL
Minibus-Yolu,9,24,HEAVY
Kadikoy-Center,1,24,HEAVY
Besiktas-Coast,2,97,NORMAL
Basin-Ekspres,0,81,NORMAL
Minibus-Yolu,13,73,NORMAL
E5-Beylikduzu,15,101,NORMAL
Tem-Kavacik,12,76,NORMAL
Basin-Ekspres,17,51,NORMAL
Basin-Ekspres,0,84,NORMAL
Sahil-Kennedy,0,88,NORMAL
Sahil-Kennedy,12,10,HEAVY
Basin-Ekspres,17,20,HEAVY
Tem-Seyrantepe,23,113,NORMAL
E5-Bridge,8,17,LOCKED
Minibus-Yolu,9,17,HEAVY
Besiktas-Coast,22,87,NORMAL
Tem-Kavacik,2,85,NORMAL
Minibus-Yolu,16,109,NORMAL
Kadikoy-Center,9,30,NORMAL
Basin-Ekspres,21,98,NORMAL
Besiktas-Coast,15,82,NORMAL
Kadikoy-Center,4,119,NORMAL
Tem-Kavacik,16,103,NORMAL
Tem-Seyrantepe,8,44,NORMAL
Bagdat-Caddesi,20,10,HEAVY
Sahil-Kennedy,7,12,HEAVY
Tem-Seyrantepe,2,28,HEAVY
Haliç-Bridge,20,59,NORMAL
Haliç-Bridge,3,86,NORMAL
Besiktas-Coast,22,118,NORMAL
Besiktas-Coast,11,73,NORMAL
Bagdat-Caddesi,9,8,HEAVY
Basin-Ekspres,12,115,NORMAL
Tem-Seyrantepe,19,38,NORMAL
Basin-Ekspres,15,71,NORMAL
Kadikoy-Center,18,25,HEAVY
Tem-Kavacik,22,84,NORMAL
Levent-Buyukdere,5,72,NORMAL
Basin-Ekspres,22,106,NORMAL
Levent-Buyukdere,22,98,NORMAL
Basin-Ekspres,3,91,NORMAL
Tem-Seyrantepe,23,114,NORMAL
Tem-Kavacik,8,27,LOCKED
Kadikoy-Center,20,7,LOCKED
Sahil-Kennedy,10,32,NORMAL
Levent-Buyukdere,6,88,NORMAL
E5-Beylikduzu,6,86,NORMAL
E5-Bridge,15,111,NORMAL
Minibus-Yolu,7,29,HEAVY
Levent-Buyukdere,10,20,HEAVY
E5-Beylikduzu,23,106,NORMAL
Bagdat-Caddesi,22,104,NORMAL
Levent-Buyukdere,5,93,NORMAL
Levent-Buyukdere,12,97,NORMAL
E5-Beylikduzu,22,86,NORMAL
Haliç-Bridge,10,17,LOCKED
Tem-Kavacik,1,101,NORMAL
Minibus-Yolu,13,81,NORMAL
Sahil-Kennedy,3,75,NORMAL
Haliç-Bridge,9,60,NORMAL
Haliç-Bridge,23,85,NORMAL
Sahil-Kennedy,1,87,NORMAL
Kadikoy-Center,5,96,NORMAL
Haliç-Bridge,11,113,NORMAL
Tem-Kavacik,17,30,LOCKED
Minibus-Yolu,15,119,NORMAL
Sahil-Kennedy,1,115,NORMAL
Sahil-Kennedy,16,71,NORMAL
Besiktas-Coast,6,13,HEAVY
Kadikoy-Center,3,100,NORMAL
E5-Beylikduzu,1,39,HEAVY
Kadikoy-Center,7,34,NORMAL
Besiktas-Coast,12,115,NORMAL
Sahil-Kennedy,9,9,HEAVY
Tem-Seyrantepe,15,87,NORMAL
E5-Bridge,17,28,LOCKED
Basin-Ekspres,23,108,NORMAL
Sahil-Kennedy,22,94,NORMAL
Tem-Seyrantepe,3,112,NORMAL
Levent-Buyukdere,21,79,NORMAL
Levent-Buyukdere,4,94,NORMAL
Minibus-Yolu,10,8,HEAVY
Sahil-Kennedy,7,12,HEAVY
Tem-Seyrantepe,21,74,NORMAL
Tem-Kavacik,21,81,NORMAL
Kadikoy-Center,2,113,NORMAL
Sahil-Kennedy,6,111,NORMAL
Tem-Seyrantepe,22,76,NORMAL
E5-Bridge,13,90,NORMAL
E5-Bridge,19,20,HEAVY
Tem-Seyrantepe,8,24,HEAVY
Haliç-Bridge,18,34,NORMAL
Minibus-Yolu,17,17,HEAVY
E5-Beylikduzu,17,22,HEAVY
Tem-Kavacik,17,20,LOCKED
E5-Bridge,13,114,NORMAL
Basin-Ekspres,19,45,NORMAL
Besiktas-Coast,18,10,HEAVY
Kadikoy-Center,15,115,NORMAL
E5-Bridge,12,38,HEAVY
Minibus-Yolu,11,24,HEAVY
Haliç-Bridge,8,27,HEAVY
Minibus-Yolu,10,9,LOCKED
Tem-Seyrantepe,21,108,NORMAL
Kadikoy-Center,15,70,NORMAL
Levent-Buyukdere,23,90,NORMAL
Bagdat-Caddesi,7,15,LOCKED
Bagdat-Caddesi,6,95,NORMAL
E5-Beylikduzu,22,81,NORMAL
Levent-Buyukdere,16,104,NORMAL
Levent-Buyukdere,3,31,HEAVY
Besiktas-Coast,12,119,NORMAL
Basin-Ekspres,11,101,NORMAL
E5-Beylikduzu,10,26,HEAVY
Kadikoy-Center,6,83,NORMAL
Haliç-Bridge,22,70,NORMAL
Kadikoy-Center,6,25,HEAVY
Tem-Seyrantepe,5,117,NORMAL
Sahil-Kennedy,18,7,HEAVY
Sahil-Kennedy,6,115,NORMAL
Sahil-Kennedy,9,14,LOCKED
Basin-Ekspres,1,92,NORMAL
Basin-Ekspres,18,38,NORMAL
Tem-Kavacik,1,83,NORMAL
E5-Bridge,18,24,LOCKED
Basin-Ekspres,10,17,HEAVY
Basin-Ekspres,12,74,NORMAL
E5-Beylikduzu,3,70,NORMAL
Besiktas-Coast,0,101,NORMAL
Levent-Buyukdere,2,109,NORMAL
Tem-Seyrantepe,19,34,NORMAL
E5-Bridge,14,117,NORMAL
Kadikoy-Center,10,44,NORMAL
Bagdat-Caddesi,10,9,HEAVY
Levent-Buyukdere,9,30,NORMAL
E5-Beylikduzu,16,77,NORMAL
Tem-Seyrantepe,2,87,NORMAL
Sahil-Kennedy,12,80,NORMAL
E5-Bridge,3,81,NORMAL
Kadikoy-Center,9,20,LOCKED
Sahil-Kennedy,13,89,NORMAL
Levent-Buyukdere,5,110,NORMAL
E5-Bridge,13,88,NORMAL
Bagdat-Caddesi,23,91,NORMAL
Haliç-Bridge,16,83,NORMAL
E5-Bridge,12,12,HEAVY
Sahil-Kennedy,15,113,NORMAL
Besiktas-Coast,9,24,LOCKED
Minibus-Yolu,20,17,HEAVY
Tem-Seyrantepe,22,101,NORMAL
Sahil-Kennedy,11,86,NORMAL
Besiktas-Coast,7,51,NORMAL
Basin-Ekspres,8,15,HEAVY
Sahil-Kennedy,11,115,NORMAL
Kadikoy-Center,3,118,NORMAL
Besiktas-Coast,20,14,HEAVY
Kadikoy-Center,22,98,NORMAL
Sahil-Kennedy,18,29,LOCKED
Tem-Kavacik,0,97,NORMAL
Kadikoy-Center,13,17,HEAVY
E5-Bridge,0,73,NORMAL
Sahil-Kennedy,3,35,HEAVY
Kadikoy-Center,21,100,NORMAL
Basin-Ekspres,5,71,NORMAL
Tem-Seyrantepe,14,82,NORMAL
E5-Bridge,14,35,HEAVY
Bagdat-Caddesi,11,82,NORMAL
Minibus-Yolu,8,18,HEAVY
Kadikoy-Center,7,52,NORMAL
Besiktas-Coast,19,44,NORMAL
E5-Beylikduzu,7,5,HEAVY
Levent-Buyukdere,17,28,HEAVY
Basin-Ekspres,0,115,NORMAL
Tem-Seyrantepe,11,107,NORMAL
Basin-Ekspres,16,90,NORMAL
Kadikoy-Center,19,43,NORMAL
Haliç-Bridge,5,76,NORMAL
E5-Beylikduzu,17,37,NORMAL
Kadikoy-Center,22,76,NORMAL
Tem-Kavacik,20,13,LOCKED
E5-Bridge,5,110,NORMAL
Bagdat-Caddesi,6,116,NORMAL
E5-Beylikduzu,4,10,HEAVY
Kadikoy-Center,4,18,HEAVY
Tem-Seyrantepe,1,73,NORMAL
Besiktas-Coast,19,30,LOCKED
Tem-Seyrantepe,13,40,HEAVY
Levent-Buyukdere,13,78,NORMAL
Haliç-Bridge,13,106,NORMAL
E5-Beylikduzu,8,22,HEAVY
Basin-Ekspres,14,10,HEAVY
E5-Beylikduzu,17,29,HEAVY
E5-Beylikduzu,15,97,NORMAL
Sahil-Kennedy,16,110,NORMAL
Besiktas-Coast,9,18,LOCKED
Bagdat-Caddesi,6,70,NORMAL
Minibus-Yolu,0,73,NORMAL
Sahil-Kennedy,22,77,NORMAL
Basin-Ekspres,15,93,NORMAL
Basin-Ekspres,5,96,NORMAL
Levent-Buyukdere,23,90,NORMAL
E5-Bridge,2,116,NORMAL
Tem-Kavacik,9,22,LOCKED
Bagdat-Caddesi,11,110,NORMAL
E5-Bridge,2,110,NORMAL
Minibus-Yolu,20,15,HEAVY
Besiktas-Coast,22,89,NORMAL
Haliç-Bridge,21,78,NORMAL
Sahil-Kennedy,0,111,NORMAL
Tem-Kavacik,23,116,NORMAL
Besiktas-Coast,20,26,HEAVY
Kadikoy-Center,15,95,NORMAL
Bagdat-Caddesi,22,80,NORMAL
E5-Beylikduzu,15,114,NORMAL
Tem-Kavacik,10,56,NORMAL
E5-Beylikduzu,17,7,HEAVY
Tem-Kavacik,14,110,NORMAL
Sahil-Kennedy,14,97,NORMAL
Kadikoy-Center,17,6,LOCKED
Sahil-Kennedy,11,79,NORMAL
E5-Beylikduzu,21,87,NORMAL
Kadikoy-Center,12,73,NORMAL
Basin-Ekspres,8,59,NORMAL
Tem-Seyrantepe,14,103,NORMAL
Tem-Kavacik,22,94,NORMAL
Besiktas-Coast,20,8,HEAVY
Besiktas-Coast,11,75,NORMAL
Basin-Ekspres,8,46,NORMAL
Bagdat-Caddesi,11,103,NORMAL
Levent-Buyukdere,22,103,NORMAL
E5-Beylikduzu,3,112,NORMAL
E5-Bridge,5,76,NORMAL
Kadikoy-Center,10,25,HEAVY
Bagdat-Caddesi,10,17,LOCKED
Besiktas-Coast,5,117,NORMAL
Basin-Ekspres,2,91,NORMAL
Levent-Buyukdere,3,99,NORMAL
Sahil-Kennedy,20,16,HEAVY
Levent-Buyukdere,21,94,NORMAL
Basin-Ekspres,5,114,NORMAL
Minibus-Yolu,7,47,NORMAL
E5-Bridge,2,109,NORMAL
Kadikoy-Center,20,12,LOCKED
Besiktas-Coast,20,21,HEAVY
Haliç-Bridge,22,82,NORMAL
Kadikoy-Center,10,8,LOCKED
Besiktas-Coast,13,112,NORMAL
Basin-Ekspres,0,119,NORMAL
Sahil-Kennedy,18,21,HEAVY
Kadikoy-Center,22,91,NORMAL
Minibus-Yolu,11,96,NORMAL
E5-Beylikduzu,22,25,HEAVY
Basin-Ekspres,0,98,NORMAL
Levent-Buyukdere,6,81,NORMAL
Kadikoy-Center,13,110,NORMAL
Tem-Kavacik,0,89,NORMAL
Sahil-Kennedy,7,9,HEAVY
Besiktas-Coast,19,14,LOCKED
E5-Beylikduzu,21,93,NORMAL
Haliç-Bridge,11,81,NORMAL
Tem-Seyrantepe,19,9,HEAVY
Basin-Ekspres,9,30,LOCKED
Haliç-Bridge,13,88,NORMAL
Tem-Kavacik,10,52,NORMAL
E5-Bridge,19,30,LOCKED
E5-Beylikduzu,8,27,HEAVY
Minibus-Yolu,23,80,NORMAL
Tem-Seyrantepe,9,50,NORMAL
Bagdat-Caddesi,14,118,NORMAL
Tem-Kavacik,19,46,NORMAL
Basin-Ekspres,11,113,NORMAL
Kadikoy-Center,8,33,NORMAL
Besiktas-Coast,16,104,NORMAL
Basin-Ekspres,1,70,NORMAL
Minibus-Yolu,9,24,LOCKED
Besiktas-Coast,23,87,NORMAL
Kadikoy-Center,18,38,NORMAL
Tem-Kavacik,14,112,NORMAL
Tem-Kavacik,20,14,HEAVY
Basin-Ekspres,17,18,HEAVY
Kadikoy-Center,13,112,NORMAL
Bagdat-Caddesi,0,75,NORMAL
E5-Bridge,17,8,HEAVY
E5-Bridge,13,102,NORMAL
Tem-Seyrantepe,5,91,NORMAL
Minibus-Yolu,8,45,NORMAL
Levent-Buyukdere,9,14,HEAVY
Basin-Ekspres,15,112,NORMAL
Haliç-Bridge,14,105,NORMAL
E5-Beylikduzu,4,86,NORMAL
Tem-Kavacik,9,20,LOCKED
E5-Bridge,10,53,NORMAL
E5-Bridge,12,72,NORMAL
Besiktas-Coast,22,85,NORMAL
E5-Beylikduzu,6,87,NORMAL
E5-Beylikduzu,20,25,LOCKED
Besiktas-Coast,11,88,NORMAL
Minibus-Yolu,7,6,LOCKED
Sahil-Kennedy,10,14,HEAVY
Basin-Ekspres,12,99,NORMAL
Levent-Buyukdere,19,38,NORMAL
Haliç-Bridge,7,53,NORMAL
Minibus-Yolu,20,12,HEAVY
Haliç-Bridge,20,16,LOCKED
Bagdat-Caddesi,2,10,HEAVY
E5-Beylikduzu,14,75,NORMAL
Tem-Seyrantepe,16,81,NORMAL
Bagdat-Caddesi,9,8,LOCKED
Basin-Ekspres,8,16,LOCKED
E5-Beylikduzu,13,79,NORMAL
E5-Beylikduzu,5,115,NORMAL
E5-Bridge,16,75,NORMAL
Levent-Buyukdere,13,21,HEAVY
Besiktas-Coast,22,74,NORMAL
E5-Beylikduzu,12,112,NORMAL
Sahil-Kennedy,10,19,HEAVY
Bagdat-Caddesi,15,22,HEAVY
Besiktas-Coast,5,103,NORMAL
Besiktas-Coast,9,16,HEAVY
Levent-Buyukdere,23,116,NORMAL
Levent-Buyukdere,23,87,NORMAL
E5-Beylikduzu,21,93,NORMAL
E5-Bridge,17,7,HEAVY
Bagdat-Caddesi,19,6,HEAVY
Besiktas-Coast,19,23,LOCKED
Basin-Ekspres,21,91,NORMAL
E5-Bridge,9,55,NORMAL
Levent-Buyukdere,18,59,NORMAL
Minibus-Yolu,18,42,NORMAL
Tem-Seyrantepe,18,7,HEAVY
Sahil-Kennedy,17,12,HEAVY
E5-Beylikduzu,3,117,NORMAL
E5-Beylikduzu,20,31,NORMAL
Kadikoy-Center,5,74,NORMAL
Kadikoy-Center,19,45,NORMAL
Basin-Ekspres,22,102,NORMAL
Minibus-Yolu,16,73,NORMAL
Levent-Buyukdere,6,92,NORMAL
Levent-Buyukdere,14,89,NORMAL
Sahil-Kennedy,6,83,NORMAL
E5-Beylikduzu,5,114,NORMAL
Sahil-Kennedy,12,81,NORMAL
Bagdat-Caddesi,11,93,NORMAL
E5-Bridge,14,85,NORMAL
E5-Bridge,0,106,NORMAL
Bagdat-Caddesi,7,26,HEAVY
Tem-Seyrantepe,0,15,HEAVY
Haliç-Bridge,1,40,HEAVY
Tem-Kavacik,21,116,NORMAL
Tem-Seyrantepe,13,20,HEAVY
E5-Beylikduzu,21,119,NORMAL
Besiktas-Coast,17,12,LOCKED
Kadikoy-Center,15,87,NORMAL
Minibus-Yolu,19,21,LOCKED
Tem-Seyrantepe,20,19,HEAVY
Besiktas-Coast,23,84,NORMAL
Haliç-Bridge,15,83,NORMAL
Besiktas-Coast,4,97,NORMAL
Tem-Seyrantepe,9,48,NORMAL
Sahil-Kennedy,2,115,NORMAL
Sahil-Kennedy,3,108,NORMAL
Minibus-Yolu,14,71,NORMAL
Tem-Seyrantepe,23,108,NORMAL
Kadikoy-Center,16,76,NORMAL
Haliç-Bridge,1,108,NORMAL
Haliç-Bridge,20,10,LOCKED
Besiktas-Coast,23,111,NORMAL
Haliç-Bridge,3,93,NORMAL
Tem-Kavacik,0,113,NORMAL
Tem-Seyrantepe,17,16,LOCKED
Levent-Buyukdere,15,29,HEAVY
Besiktas-Coast,22,72,NORMAL
Besiktas-Coast,13,117,NORMAL
E5-Bridge,10,43,NORMAL
Tem-Seyrantepe,6,85,NORMAL
Bagdat-Caddesi,20,37,NORMAL
Besiktas-Coast,23,73,NORMAL
Kadikoy-Center,20,24,HEAVY
Minibus-Yolu,0,116,NORMAL
E5-Bridge,18,38,NORMAL
Basin-Ekspres,5,11,HEAVY
Basin-Ekspres,3,116,NORMAL
E5-Bridge,11,108,NORMAL
E5-Bridge,0,82,NORMAL
Kadikoy-Center,7,30,HEAVY
Kadikoy-Center,6,79,NORMAL
Tem-Seyrantepe,11,120,NORMAL
Tem-Seyrantepe,17,32,NORMAL
Haliç-Bridge,10,38,NORMAL
Kadikoy-Center,17,15,HEAVY
Minibus-Yolu,15,99,NORMAL
Minibus-Yolu,9,36,NORMAL
Sahil-Kennedy,3,105,NORMAL
Tem-Kavacik,19,48,NORMAL
Minibus-Yolu,6,90,NORMAL
Bagdat-Caddesi,23,91,NORMAL
Tem-Seyrantepe,16,87,NORMAL
Levent-Buyukdere,18,5,LOCKED
E5-Beylikduzu,15,82,NORMAL
Haliç-Bridge,2,88,NORMAL
E5-Beylikduzu,16,117,NORMAL
Besiktas-Coast,12,99,NORMAL
Haliç-Bridge,0,99,NORMAL
E5-Bridge,17,9,LOCKED
Basin-Ekspres,16,80,NORMAL
E5-Beylikduzu,11,94,NORMAL
Haliç-Bridge,9,25,HEAVY
Kadikoy-Center,12,79,NORMAL
Levent-Buyukdere,5,92,NORMAL
Levent-Buyukdere,7,7,LOCKED
E5-Bridge,2,116,NORMAL
E5-Beylikduzu,3,86,NORMAL
E5-Bridge,7,20,HEAVY
Tem-Seyrantepe,16,90,NORMAL
Kadikoy-Center,9,60,NORMAL
Haliç-Bridge,23,72,NORMAL
Tem-Kavacik,14,117,NORMAL
E5-Bridge,18,10,HEAVY
Kadikoy-Center,6,74,NORMAL
E5-Beylikduzu,8,46,NORMAL
Minibus-Yolu,4,77,NORMAL
Bagdat-Caddesi,18,14,HEAVY
Tem-Kavacik,12,111,NORMAL
E5-Bridge,12,100,NORMAL
E5-Bridge,14,74,NORMAL
E5-Bridge,21,104,NORMAL
Minibus-Yolu,3,82,NORMAL
Kadikoy-Center,0,100,NORMAL
Tem-Kavacik,10,15,HEAVY
Haliç-Bridge,16,113,NORMAL
Tem-Seyrantepe,21,81,NORMAL
Tem-Kavacik,8,35,NORMAL
E5-Beylikduzu,10,36,NORMAL
Levent-Buyukdere,14,104,NORMAL
Kadikoy-Center,15,116,NORMAL
E5-Bridge,21,77,NORMAL
E5-Bridge,14,106,NORMAL
E5-Bridge,4,88,NORMAL
Levent-Buyukdere,11,103,NORMAL
Minibus-Yolu,8,29,HEAVY
Haliç-Bridge,10,9,LOCKED
Sahil-Kennedy,13,84,NORMAL
E5-Bridge,10,15,LOCKED
Minibus-Yolu,1,75,NORMAL
Sahil-Kennedy,19,54,NORMAL
Bagdat-Caddesi,7,21,LOCKED
Tem-Kavacik,18,45,NORMAL
Sahil-Kennedy,9,10,LOCKED
Sahil-Kennedy,18,38,NORMAL
E5-Bridge,9,26,LOCKED
Bagdat-Caddesi,10,18,LOCKED
Basin-Ekspres,16,99,NORMAL
Tem-Seyrantepe,21,91,NORMAL
Basin-Ekspres,11,74,NORMAL
E5-Bridge,22,87,NORMAL
Basin-Ekspres,11,82,NORMAL
Sahil-Kennedy,9,8,LOCKED
Basin-Ekspres,2,36,HEAVY
Haliç-Bridge,3,30,HEAVY
Minibus-Yolu,7,11,LOCKED
Levent-Buyukdere,6,102,NORMAL
Tem-Kavacik,10,18,HEAVY
E5-Beylikduzu,18,57,NORMAL
Haliç-Bridge,18,30,LOCKED
Basin-Ekspres,11,76,NORMAL
Levent-Buyukdere,19,26,LOCKED
Levent-Buyukdere,14,75,NORMAL
Haliç-Bridge,5,80,NORMAL
Kadikoy-Center,10,5,HEAVY
Levent-Buyukdere,4,120,NORMAL
Minibus-Yolu,3,108,NORMAL
Basin-Ekspres,11,81,NORMAL
E5-Beylikduzu,23,93,NORMAL
Sahil-Kennedy,15,76,NORMAL
Besiktas-Coast,7,48,NORMAL
E5-Bridge,4,100,NORMAL
Besiktas-Coast,16,23,HEAVY
Haliç-Bridge,1,120,NORMAL
Minibus-Yolu,9,18,LOCKED
E5-Beylikduzu,7,33,NORMAL
E5-Beylikduzu,4,106,NORMAL
Tem-Seyrantepe,5,88,NORMAL
Basin-Ekspres,10,13,LOCKED
E5-Bridge,4,82,NORMAL
Besiktas-Coast,21,94,NORMAL
E5-Bridge,22,103,NORMAL
E5-Beylikduzu,18,52,NORMAL
Minibus-Yolu,16,115,NORMAL
Kadikoy-Center,11,108,NORMAL
Tem-Kavacik,2,97,NORMAL
Tem-Kavacik,22,12,HEAVY
Levent-Buyukdere,10,56,NORMAL
Bagdat-Caddesi,11,86,NORMAL
Haliç-Bridge,8,51,NORMAL
Levent-Buyukdere,5,89,NORMAL
Levent-Buyukdere,9,7,LOCKED
E5-Beylikduzu,18,7,HEAVY
Sahil-Kennedy,6,85,NORMAL
Sahil-Kennedy,23,102,NORMAL
Bagdat-Caddesi,23,111,NORMAL
Besiktas-Coast,14,70,NORMAL
Basin-Ekspres,9,48,NORMAL
Minibus-Yolu,10,28,LOCKED
Tem-Seyrantepe,11,83,NORMAL
Kadikoy-Center,1,110,NORMAL
Kadikoy-Center,5,114,NORMAL
Minibus-Yolu,22,99,NORMAL
Sahil-Kennedy,11,74,NORMAL
Tem-Seyrantepe,18,45,NORMAL
Besiktas-Coast,19,6,LOCKED
E5-Beylikduzu,2,87,NORMAL
Bagdat-Caddesi,13,14,HEAVY
Besiktas-Coast,4,28,HEAVY
Sahil-Kennedy,3,75,NORMAL
E5-Bridge,11,116,NORMAL
Kadikoy-Center,16,104,NORMAL
Basin-Ekspres,11,113,NORMAL
Haliç-Bridge,5,105,NORMAL
E5-Bridge,13,11,HEAVY
Basin-Ekspres,7,13,HEAVY
E5-Beylikduzu,21,77,NORMAL
Kadikoy-Center,20,53,NORMAL
E5-Beylikduzu,1,105,NORMAL
Basin-Ekspres,8,28,LOCKED
Bagdat-Caddesi,10,47,NORMAL
Tem-Seyrantepe,18,45,NORMAL
Tem-Seyrantepe,21,105,NORMAL
Minibus-Yolu,11,108,NORMAL
Sahil-Kennedy,17,13,HEAVY
Tem-Kavacik,16,80,NORMAL
Sahil-Kennedy,7,46,NORMAL
Haliç-Bridge,16,92,NORMAL
Besiktas-Coast,17,21,LOCKED
E5-Beylikduzu,12,76,NORMAL
Haliç-Bridge,16,101,NORMAL
Haliç-Bridge,6,85,NORMAL
E5-Bridge,22,80,NORMAL
Minibus-Yolu,21,97,NORMAL
Minibus-Yolu,15,90,NORMAL
Kadikoy-Center,8,19,HEAVY
Basin-Ekspres,14,82,NORMAL
Tem-Kavacik,11,98,NORMAL
Besiktas-Coast,19,27,LOCKED
E5-Beylikduzu,23,89,NORMAL
Tem-Kavacik,7,55,NORMAL
Bagdat-Caddesi,10,56,NORMAL
Sahil-Kennedy,23,119,NORMAL
