road_id,hour,speed,congestion_status
Tem-Kavacik,2,108,NORMAL
Tem-Seyrantepe,2,37,HEAVY
Minibus-Yolu,10,22,LOCKED
Levent-Buyukdere,3,85,NORMAL
Minibus-Yolu,15,119,NORMAL
Minibus-Yolu,11,103,NORMAL
E5-Beylikduzu,4,29,HEAVY
Tem-Seyrantepe,22,82,NORMAL
Levent-Buyukdere,12,83,NORMAL
Besiktas-Coast,12,70,NORMAL
Sahil-Kennedy,14,97,NORMAL
E5-Bridge,13,111,NORMAL
Kadikoy-Center,18,25,HEAVY
Sahil-Kennedy,7,41,NORMAL
Tem-Seyrantepe,6,119,NORMAL
E5-Bridge,8,10,LOCKED
Bagdat-Caddesi,21,75,NORMAL
Basin-Ekspres,21,76,NORMAL
Tem-Kavacik,4,118,NORMAL
Levent-Buyukdere,18,17,HEAVY
Bagdat-Caddesi,15,93,NORMAL
Sahil-Kennedy,6,91,NORMAL
Minibus-Yolu,23,83,NORMAL
Bagdat-Caddesi,19,58,NORMAL
E5-Beylikduzu,1,113,NORMAL
Besiktas-Coast,14,92,NORMAL
Kadikoy-Center,7,45,NORMAL
E5-Beylikduzu,15,84,NORMAL
Haliç-Bridge,12,109,NORMAL
Tem-Seyrantepe,9,40,NORMAL
Bagdat-Caddesi,18,10,HEAVY
Haliç-Bridge,21,91,NORMAL
Minibus-Yolu,16,83,NORMAL
Tem-Seyrantepe,22,94,NORMAL
Besiktas-Coast,19,23,HEAVY
Minibus-Yolu,7,41,NORMAL
Haliç-Bridge,2,109,NORMAL
E5-Beylikduzu,13,90,NORMAL
Tem-Seyrantepe,22,84,NORMAL
Kadikoy-Center,21,111,NORMAL
E5-Beylikduzu,10,51,NORMAL
Sahil-Kennedy,0,104,NORMAL
Sahil-Kennedy,19,30,HEAVY
Tem-Seyrantepe,15,104,NORMAL
Sahil-Kennedy,22,110,NORMAL
Besiktas-Coast,0,80,NORMAL
Haliç-Bridge,15,118,NORMAL
Sahil-Kennedy,3,113,NORMAL
Sahil-Kennedy,15,85,NORMAL
Minibus-Yolu,15,112,NORMAL
Minibus-Yolu,1,93,NORMAL
Basin-Ekspres,1,90,NORMAL
Besiktas-Coast,3,120,NORMAL
Tem-Kavacik,0,79,NORMAL
Haliç-Bridge,20,9,LOCKED
E5-Beylikduzu,23,102,NORMAL
Minibus-Yolu,23,110,NORMAL
Tem-Seyrantepe,14,92,NORMAL
Tem-Seyrantepe,2,97,NORMAL
Haliç-Bridge,19,44,NORMAL
Bagdat-Caddesi,20,10,HEAVY
Sahil-Kennedy,5,116,NORMAL
Bagdat-Caddesi,13,82,NORMAL
E5-Beylikduzu,21,85,NORMAL
Besiktas-Coast,7,60,NORMAL
Levent-Buyukdere,7,26,LOCKED
E5-Beylikduzu,3,93,NORMAL
E5-Beylikduzu,23,83,NORMAL
Sahil-Kennedy,18,28,HEAVY
Haliç-Bridge,20,25,LOCKED
Kadikoy-Center,19,6,LOCKED
Haliç-Bridge,14,98,NORMAL
Kadikoy-Center,3,79,NORMAL
Haliç-Bridge,5,97,NORMAL
E5-Beylikduzu,10,11,HEAVY
Tem-Seyrantepe,4,99,NORMAL
Kadikoy-Center,17,21,LOCKED
Kadikoy-Center,17,52,NORMAL
Kadikoy-Center,0,38,HEAVY
Sahil-Kennedy,16,91,NORMAL
E5-Bridge,8,14,LOCKED
Bagdat-Caddesi,14,35,HEAVY
Tem-Kavacik,9,21,HEAVY
E5-Bridge,18,51,NORMAL
Basin-Ekspres,3,91,NORMAL
Levent-Buyukdere,2,108,NORMAL
Basin-Ekspres,1,95,NORMAL
Haliç-Bridge,6,80,NORMAL
Bagdat-Caddesi,1,104,NORMAL
Tem-Kavacik,4,99,NORMAL
Sahil-Kennedy,0,78,NORMAL
Tem-Kavacik,10,52,NORMAL
Tem-Kavacik,20,17,LOCKED
E5-Bridge,9,27,LOCKED
Basin-Ekspres,16,83,NORMAL
Kadikoy-Center,21,24,HEAVY
Kadikoy-Center,6,112,NORMAL
Bagdat-Caddesi,16,77,NORMAL
E5-Beylikduzu,14,18,HEAVY
E5-Bridge,11,107,NORMAL
Kadikoy-Center,16,86,NORMAL
Tem-Kavacik,10,12,LOCKED
Besiktas-Coast,18,26,LOCKED
Sahil-Kennedy,17,28,LOCKED
Tem-Seyrantepe,14,34,HEAVY
Tem-Kavacik,16,87,NORMAL
Basin-Ekspres,23,105,NORMAL
Kadikoy-Center,11,114,NORMAL
Tem-Kavacik,18,13,LOCKED
Kadikoy-Center,2,75,NORMAL
Minibus-Yolu,1,112,NORMAL
Basin-Ekspres,10,24,LOCKED
E5-Beylikduzu,1,111,NORMAL
E5-Bridge,19,10,HEAVY
Kadikoy-Center,11,78,NORMAL
E5-Bridge,20,17,LOCKED
E5-Bridge,6,102,NORMAL
Tem-Seyrantepe,20,11,LOCKED
Basin-Ekspres,19,12,LOCKED
E5-Beylikduzu,5,88,NORMAL
E5-Beylikduzu,8,55,NORMAL
Sahil-Kennedy,6,83,NORMAL
Besiktas-Coast,3,88,NORMAL
Levent-Buyukdere,16,117,NORMAL
Tem-Seyrantepe,5,71,NORMAL
Minibus-Yolu,4,84,NORMAL
E5-Bridge,6,90,NORMAL
Haliç-Bridge,6,118,NORMAL
Besiktas-Coast,10,27,LOCKED
Minibus-Yolu,9,15,LOCKED
Sahil-Kennedy,21,90,NORMAL
Tem-Kavacik,23,83,NORMAL
E5-Beylikduzu,6,113,NORMAL
Minibus-Yolu,14,110,NORMAL
Besiktas-Coast,11,82,NORMAL
Besiktas-Coast,1,96,NORMAL
Levent-Buyukdere,0,97,NORMAL
Haliç-Bridge,12,88,NORMAL
Kadikoy-Center,5,70,NORMAL
Levent-Buyukdere,0,31,HEAVY
E5-Beylikduzu,5,110,NORMAL
Haliç-Bridge,4,10,HEAVY
Kadikoy-Center,15,87,NORMAL
Tem-Kavacik,6,26,HEAVY
Haliç-Bridge,1,95,NORMAL
Tem-Kavacik,20,8,HEAVY
Besiktas-Coast,8,43,NORMAL
Haliç-Bridge,21,118,NORMAL
Tem-Seyrantepe,11,120,NORMAL
Bagdat-Caddesi,22,70,NORMAL
E5-Beylikduzu,11,40,HEAVY
Tem-Seyrantepe,18,54,NORMAL
Minibus-Yolu,17,23,HEAVY
Kadikoy-Center,19,9,LOCKED
Kadikoy-Center,8,22,LOCKED
Levent-Buyukdere,1,98,NORMAL
Minibus-Yolu,8,30,LOCKED
Bagdat-Caddesi,17,28,HEAVY
Besiktas-Coast,1,19,HEAVY
E5-Bridge,5,99,NORMAL
E5-Beylikduzu,9,22,HEAVY
Tem-Kavacik,12,117,NORMAL
E5-Beylikduzu,18,10,HEAVY
Minibus-Yolu,6,99,NORMAL
Besiktas-Coast,18,58,NORMAL
Sahil-Kennedy,0,112,NORMAL
E5-Beylikduzu,16,90,NORMAL
Basin-Ekspres,0,97,NORMAL
Besiktas-Coast,22,95,NORMAL
Kadikoy-Center,10,7,LOCKED
Besiktas-Coast,3,118,NORMAL
Sahil-Kennedy,20,57,NORMAL
Haliç-Bridge,5,120,NORMAL
Tem-Seyrantepe,15,96,NORMAL
Kadikoy-Center,1,22,HEAVY
Kadikoy-Center,19,5,HEAVY
E5-Bridge,17,22,LOCKED
Levent-Buyukdere,21,109,NORMAL
Kadikoy-Center,0,119,NORMAL
Besiktas-Coast,1,97,NORMAL
Basin-Ekspres,17,38,NORMAL
Sahil-Kennedy,2,107,NORMAL
Kadikoy-Center,6,86,NORMAL
Levent-Buyukdere,11,94,NORMAL
Basin-Ekspres,15,105,NORMAL
Haliç-Bridge,9,17,LOCKED
Basin-Ekspres,2,118,NORMAL
E5-Bridge,20,30,LOCKED
Kadikoy-Center,3,77,NORMAL
Minibus-Yolu,17,25,HEAVY
Minibus-Yolu,4,95,NORMAL
Tem-Kavacik,11,117,NORMAL
Bagdat-Caddesi,14,86,NORMAL
Basin-Ekspres,16,113,NORMAL
Besiktas-Coast,19,47,NORMAL
Besiktas-Coast,2,104,NORMAL
Kadikoy-Center,15,94,NORMAL
Kadikoy-Center,18,25,LOCKED
Haliç-Bridge,15,74,NORMAL
Tem-Kavacik,16,40,HEAVY
Tem-Seyrantepe,4,115,NORMAL
Sahil-Kennedy,14,119,NORMAL
Sahil-Kennedy,2,89,NORMAL
Sahil-Kennedy,3,108,NORMAL
Minibus-Yolu,19,54,NORMAL
Tem-Kavacik,22,82,NORMAL
Bagdat-Caddesi,11,111,NORMAL
E5-Beylikduzu,7,36,NORMAL
Levent-Buyukdere,19,49,NORMAL
E5-Bridge,16,94,NORMAL
Tem-Seyrantepe,0,78,NORMAL
Haliç-Bridge,19,23,LOCKED
E5-Bridge,10,5,LOCKED
Basin-Ekspres,18,5,HEAVY
Haliç-Bridge,4,110,NORMAL
Besiktas-Coast,20,20,LOCKED
Tem-Seyrantepe,15,70,NORMAL
Sahil-Kennedy,5,75,NORMAL
Tem-Kavacik,22,82,NORMAL
Minibus-Yolu,16,77,NORMAL
Tem-Seyrantepe,17,11,HEAVY
Tem-Kavacik,16,74,NORMAL
Minibus-Yolu,21,95,NORMAL
Levent-Buyukdere,5,120,NORMAL
Haliç-Bridge,21,35,HEAVY
Bagdat-Caddesi,6,86,NORMAL
Tem-Seyrantepe,8,22,HEAVY
E5-Bridge,21,97,NORMAL
Levent-Buyukdere,14,40,HEAVY
Minibus-Yolu,1,102,NORMAL
Besiktas-Coast,19,44,NORMAL
Kadikoy-Center,11,79,NORMAL
E5-Bridge,12,75,NORMAL
Bagdat-Caddesi,12,108,NORMAL
Kadikoy-Center,19,12,LOCKED
Minibus-Yolu,0,101,NORMAL
E5-Bridge,2,11,HEAVY
Bagdat-Caddesi,14,96,NORMAL
Levent-Buyukdere,16,82,NORMAL
Bagdat-Caddesi,2,75,NORMAL
Besiktas-Coast,1,91,NORMAL
Sahil-Kennedy,4,82,NORMAL
Tem-Seyrantepe,1,104,NORMAL
Levent-Buyukdere,3,88,NORMAL
Haliç-Bridge,18,57,NORMAL
Kadikoy-Center,0,105,NORMAL
Basin-Ekspres,10,26,LOCKED
Tem-Seyrantepe,11,101,NORMAL
Kadikoy-Center,23,74,NORMAL
Haliç-Bridge,20,25,LOCKED
Tem-Kavacik,2,13,HEAVY
Minibus-Yolu,5,83,NORMAL
Minibus-Yolu,21,80,NORMAL
Sahil-Kennedy,13,114,NORMAL
E5-Bridge,0,91,NORMAL
Besiktas-Coast,22,114,NORMAL
Levent-Buyukdere,3,72,NORMAL
Bagdat-Caddesi,11,104,NORMAL
Tem-Kavacik,5,35,HEAVY
Tem-Kavacik,14,11,HEAVY
Tem-Seyrantepe,23,73,NORMAL
E5-Bridge,21,94,NORMAL
Minibus-Yolu,9,30,HEAVY
Basin-Ekspres,5,110,NORMAL
Haliç-Bridge,2,13,HEAVY
Haliç-Bridge,9,47,NORMAL
E5-Bridge,12,94,NORMAL
Tem-Seyrantepe,6,97,NORMAL
Basin-Ekspres,13,103,NORMAL
Kadikoy-Center,1,73,NORMAL
Tem-Seyrantepe,3,96,NORMAL
Tem-Seyrantepe,12,38,HEAVY
Sahil-Kennedy,0,91,NORMAL
Kadikoy-Center,21,74,NORMAL
Tem-Seyrantepe,16,78,NORMAL
Tem-Seyrantepe,5,111,NORMAL
Sahil-Kennedy,8,26,LOCKED
Haliç-Bridge,22,96,NORMAL
Tem-Seyrantepe,10,52,NORMAL
Minibus-Yolu,18,17,LOCKED
Levent-Buyukdere,2,103,NORMAL
Tem-Seyrantepe,3,106,NORMAL
Tem-Seyrantepe,11,79,NORMAL
Levent-Buyukdere,18,40,NORMAL
E5-Beylikduzu,0,104,NORMAL
Haliç-Bridge,16,96,NORMAL
Minibus-Yolu,22,116,NORMAL
Haliç-Bridge,21,97,NORMAL
Tem-Kavacik,6,72,NORMAL
Bagdat-Caddesi,13,90,NORMAL
Minibus-Yolu,18,55,NORMAL
Tem-Kavacik,3,85,NORMAL
E5-Bridge,11,80,NORMAL
Minibus-Yolu,23,115,NORMAL
Minibus-Yolu,16,11,HEAVY
Besiktas-Coast,16,115,NORMAL
Besiktas-Coast,22,114,NORMAL
Bagdat-Caddesi,5,111,NORMAL
E5-Bridge,11,91,NORMAL
E5-Bridge,20,13,LOCKED
Kadikoy-Center,22,113,NORMAL
E5-Bridge,5,72,NORMAL
Haliç-Bridge,23,119,NORMAL
Haliç-Bridge,13,86,NORMAL
Kadikoy-Center,19,16,LOCKED
Bagdat-Caddesi,15,82,NORMAL
Bagdat-Caddesi,5,75,NORMAL
Minibus-Yolu,20,35,NORMAL
Minibus-Yolu,15,107,NORMAL
E5-Bridge,6,110,NORMAL
Sahil-Kennedy,15,96,NORMAL
Tem-Kavacik,6,97,NORMAL
Sahil-Kennedy,19,17,LOCKED
Sahil-Kennedy,19,40,NORMAL
Minibus-Yolu,13,99,NORMAL
Besiktas-Coast,14,86,NORMAL
Haliç-Bridge,11,81,NORMAL
E5-Beylikduzu,17,16,HEAVY
Minibus-Yolu,7,47,NORMAL
Bagdat-Caddesi,4,96,NORMAL
Haliç-Bridge,2,82,NORMAL
Sahil-Kennedy,4,113,NORMAL
Minibus-Yolu,2,19,HEAVY
Levent-Buyukdere,14,118,NORMAL
Basin-Ekspres,4,116,NORMAL
Besiktas-Coast,7,46,NORMAL
Bagdat-Caddesi,18,10,LOCKED
Kadikoy-Center,7,15,LOCKED
Sahil-Kennedy,3,88,NORMAL
E5-Beylikduzu,18,27,HEAVY
Kadikoy-Center,4,103,NORMAL
Kadikoy-Center,18,18,HEAVY
Haliç-Bridge,13,73,NORMAL
Bagdat-Caddesi,11,100,NORMAL
Sahil-Kennedy,16,81,NORMAL
E5-Bridge,15,106,NORMAL
Haliç-Bridge,20,31,NORMAL
Tem-Seyrantepe,6,94,NORMAL
Kadikoy-Center,12,73,NORMAL
Haliç-Bridge,0,104,NORMAL
Basin-Ekspres,5,110,NORMAL
Kadikoy-Center,23,106,NORMAL
Minibus-Yolu,2,25,HEAVY
Tem-Seyrantepe,7,18,HEAVY
Minibus-Yolu,1,87,NORMAL
Bagdat-Caddesi,21,83,NORMAL
Besiktas-Coast,2,90,NORMAL
E5-Beylikduzu,14,95,NORMAL
Sahil-Kennedy,19,11,HEAVY
E5-Beylikduzu,16,81,NORMAL
Levent-Buyukdere,4,75,NORMAL
Sahil-Kennedy,14,32,HEAVY
Tem-Kavacik,14,76,NORMAL
Besiktas-Coast,20,57,NORMAL
Sahil-Kennedy,10,27,HEAVY
Basin-Ekspres,15,75,NORMAL
E5-Beylikduzu,20,46,NORMAL
Tem-Seyrantepe,6,83,NORMAL
E5-Bridge,5,90,NORMAL
Sahil-Kennedy,3,103,NORMAL
Haliç-Bridge,15,114,NORMAL
Kadikoy-Center,8,29,LOCKED
E5-Bridge,9,31,NORMAL
Tem-Seyrantepe,0,109,NORMAL
Sahil-Kennedy,21,81,NORMAL
Levent-Buyukdere,11,84,NORMAL
Kadikoy-Center,8,6,LOCKED
Kadikoy-Center,9,11,HEAVY
E5-Beylikduzu,23,105,NORMAL
Minibus-Yolu,18,59,NORMAL
Kadikoy-Center,11,17,HEAVY
Haliç-Bridge,19,60,NORMAL
E5-Beylikduzu,11,102,NORMAL
Tem-Kavacik,7,18,HEAVY
Minibus-Yolu,11,101,NORMAL
Tem-Kavacik,11,110,NORMAL
Bagdat-Caddesi,8,38,NORMAL
Bagdat-Caddesi,16,85,NORMAL
Bagdat-Caddesi,22,94,NORMAL
Sahil-Kennedy,12,70,NORMAL
Levent-Buyukdere,5,88,NORMAL
Kadikoy-Center,20,35,NORMAL
Tem-Kavacik,21,95,NORMAL
Tem-Kavacik,5,89,NORMAL
E5-Bridge,9,37,NORMAL
Sahil-Kennedy,22,74,NORMAL
Tem-Kavacik,11,73,NORMAL
Kadikoy-Center,1,74,NORMAL
Bagdat-Caddesi,21,92,NORMAL
Besiktas-Coast,7,13,LOCKED
Tem-Seyrantepe,4,103,NORMAL
Besiktas-Coast,8,18,HEAVY
E5-Beylikduzu,7,16,LOCKED
E5-Bridge,7,57,NORMAL
E5-Beylikduzu,10,34,NORMAL
Basin-Ekspres,19,25,HEAVY
Tem-Seyrantepe,17,20,LOCKED
Haliç-Bridge,12,117,NORMAL
Basin-Ekspres,3,108,NORMAL
E5-Bridge,6,85,NORMAL
E5-Bridge,18,10,LOCKED
Sahil-Kennedy,16,39,HEAVY
Levent-Buyukdere,6,120,NORMAL
Levent-Buyukdere,20,22,HEAVY
E5-Beylikduzu,4,72,NORMAL
Tem-Kavacik,17,29,LOCKED
Sahil-Kennedy,8,18,LOCKED
Basin-Ekspres,8,16,HEAVY
Besiktas-Coast,18,54,NORMAL
Kadikoy-Center,22,71,NORMAL
Besiktas-Coast,11,72,NORMAL
Sahil-Kennedy,3,75,NORMAL
Sahil-Kennedy,8,13,HEAVY
Minibus-Yolu,21,36,HEAVY
Tem-Seyrantepe,6,93,NORMAL
Sahil-Kennedy,7,9,HEAVY
Kadikoy-Center,5,119,NORMAL
Minibus-Yolu,20,37,NORMAL
Tem-Seyrantepe,14,25,HEAVY
Besiktas-Coast,12,110,NORMAL
Basin-Ekspres,6,105,NORMAL
Tem-Seyrantepe,7,30,HEAVY
E5-Bridge,22,73,NORMAL
E5-Beylikduzu,19,5,LOCKED
Tem-Kavacik,4,32,HEAVY
Tem-Seyrantepe,7,9,LOCKED
Kadikoy-Center,11,77,NORMAL
E5-Beylikduzu,21,102,NORMAL
Sahil-Kennedy,15,39,HEAVY
Tem-Seyrantepe,23,103,NORMAL
Sahil-Kennedy,6,70,NORMAL
E5-Bridge,1,11,HEAVY
Tem-Kavacik,0,89,NORMAL
E5-Bridge,0,83,NORMAL
Sahil-Kennedy,15,120,NORMAL
Levent-Buyukdere,3,108,NORMAL
Besiktas-Coast,16,88,NORMAL
E5-Beylikduzu,7,41,NORMAL
Minibus-Yolu,21,108,NORMAL
Kadikoy-Center,8,48,NORMAL
E5-Bridge,16,102,NORMAL
E5-Bridge,9,22,LOCKED
Kadikoy-Center,7,30,NORMAL
Haliç-Bridge,3,102,NORMAL
Tem-Kavacik,10,23,LOCKED
Haliç-Bridge,23,107,NORMAL
Minibus-Yolu,9,7,HEAVY
Minibus-Yolu,5,108,NORMAL
Tem-Kavacik,14,98,NORMAL
E5-Bridge,9,18,LOCKED
Basin-Ekspres,14,114,NORMAL
Basin-Ekspres,21,85,NORMAL
E5-Bridge,18,26,HEAVY
Levent-Buyukdere,21,85,NORMAL
Levent-Buyukdere,16,104,NORMAL
Tem-Kavacik,8,13,HEAVY
Besiktas-Coast,16,91,NORMAL
Minibus-Yolu,4,98,NORMAL
Besiktas-Coast,20,36,NORMAL
Tem-Seyrantepe,23,115,NORMAL
E5-Beylikduzu,20,28,LOCKED
Tem-Seyrantepe,4,107,NORMAL
Sahil-Kennedy,1,89,NORMAL
E5-Beylikduzu,19,37,NORMAL
Bagdat-Caddesi,14,120,NORMAL
Besiktas-Coast,7,6,LOCKED
Tem-Kavacik,9,39,NORMAL
Besiktas-Coast,15,106,NORMAL
Minibus-Yolu,13,85,NORMAL
Tem-Seyrantepe,19,56,NORMAL
E5-Bridge,13,103,NORMAL
Bagdat-Caddesi,4,87,NORMAL
Basin-Ekspres,12,119,NORMAL
Basin-Ekspres,16,102,NORMAL
E5-Bridge,7,60,NORMAL
Levent-Buyukdere,9,26,HEAVY
Haliç-Bridge,9,26,LOCKED
Tem-Seyrantepe,19,27,LOCKED
Sahil-Kennedy,11,85,NORMAL
Minibus-Yolu,13,71,NORMAL
Besiktas-Coast,16,74,NORMAL
E5-Bridge,6,84,NORMAL
Minibus-Yolu,3,84,NORMAL
E5-Beylikduzu,11,119,NORMAL
Bagdat-Caddesi,11,117,NORMAL
E5-Beylikduzu,4,77,NORMAL
Bagdat-Caddesi,12,93,NORMAL
Besiktas-Coast,16,83,NORMAL
Tem-Kavacik,21,86,NORMAL
Besiktas-Coast,18,21,HEAVY
Bagdat-Caddesi,4,120,NORMAL
Sahil-Kennedy,19,20,LOCKED
Minibus-Yolu,12,98,NORMAL
Levent-Buyukdere,0,18,HEAVY
Levent-Buyukdere,17,41,NORMAL
Levent-Buyukdere,21,82,NORMAL
Minibus-Yolu,0,79,NORMAL
Tem-Kavacik,9,29,LOCKED
Levent-Buyukdere,5,91,NORMAL
Minibus-Yolu,4,102,NORMAL
Bagdat-Caddesi,1,100,NORMAL
Minibus-Yolu,1,93,NORMAL
Levent-Buyukdere,16,25,HEAVY
Tem-Seyrantepe,8,33,NORMAL
Sahil-Kennedy,7,21,LOCKED
Kadikoy-Center,3,74,NORMAL
Basin-Ekspres,5,94,NORMAL
E5-Bridge,11,78,NORMAL
Sahil-Kennedy,2,103,NORMAL
Levent-Buyukdere,13,102,NORMAL
Levent-Buyukdere,20,13,HEAVY
Minibus-Yolu,1,108,NORMAL
Tem-Kavacik,13,90,NORMAL
Tem-Seyrantepe,7,9,LOCKED
Bagdat-Caddesi,20,58,NORMAL
Minibus-Yolu,20,16,HEAVY
Basin-Ekspres,3,99,NORMAL
Levent-Buyukdere,2,84,NORMAL
Tem-Kavacik,0,89,NORMAL
E5-Beylikduzu,23,19,HEAVY
Levent-Buyukdere,21,26,HEAVY
Basin-Ekspres,15,75,NORMAL
Bagdat-Caddesi,19,8,LOCKED
Tem-Kavacik,20,33,NORMAL
E5-Beylikduzu,22,73,NORMAL
Sahil-Kennedy,16,105,NORMAL
Tem-Kavacik,16,103,NORMAL
E5-Beylikduzu,11,114,NORMAL
E5-Bridge,21,85,NORMAL
Haliç-Bridge,16,78,NORMAL
E5-Beylikduzu,15,118,NORMAL
E5-Beylikduzu,21,11,HEAVY
Bagdat-Caddesi,16,78,NORMAL
Tem-Seyrantepe,16,99,NORMAL
Bagdat-Caddesi,23,74,NORMAL
Levent-Buyukdere,13,115,NORMAL
Levent-Buyukdere,19,23,LOCKED
Minibus-Yolu,2,100,NORMAL
Kadikoy-Center,10,26,LOCKED
Sahil-Kennedy,17,39,NORMAL
Tem-Kavacik,11,118,NORMAL
Tem-Kavacik,12,100,NORMAL
E5-Beylikduzu,22,110,NORMAL
Tem-Seyrantepe,13,92,NORMAL
E5-Bridge,21,25,HEAVY
Sahil-Kennedy,14,82,NORMAL
Tem-Seyrantepe,12,95,NORMAL
Besiktas-Coast,13,74,NORMAL
Tem-Seyrantepe,2,103,NORMAL
E5-Beylikduzu,4,79,NORMAL
Tem-Kavacik,19,28,HEAVY
E5-Bridge,11,94,NORMAL
Kadikoy-Center,4,93,NORMAL
Besiktas-Coast,4,113,NORMAL
E5-Bridge,8,18,HEAVY
Kadikoy-Center,13,100,NORMAL
Haliç-Bridge,13,100,NORMAL
E5-Beylikduzu,4,86,NORMAL
Tem-Seyrantepe,13,92,NORMAL
Bagdat-Caddesi,4,70,NORMAL
Kadikoy-Center,4,94,NORMAL
E5-Beylikduzu,2,82,NORMAL
E5-Beylikduzu,16,16,HEAVY
Bagdat-Caddesi,6,91,NORMAL
E5-Beylikduzu,10,59,NORMAL
E5-Beylikduzu,17,20,LOCKED
E5-Beylikduzu,8,53,NORMAL
E5-Beylikduzu,20,13,HEAVY
Sahil-Kennedy,23,107,NORMAL
Sahil-Kennedy,6,92,NORMAL
Haliç-Bridge,18,40,NORMAL
Besiktas-Coast,4,103,NORMAL
Haliç-Bridge,17,27,HEAVY
Levent-Buyukdere,21,88,NORMAL
Kadikoy-Center,16,73,NORMAL
Besiktas-Coast,8,17,HEAVY
Sahil-Kennedy,3,99,NORMAL
Tem-Kavacik,6,107,NORMAL
Bagdat-Caddesi,15,112,NORMAL
Levent-Buyukdere,8,29,HEAVY
Kadikoy-Center,2,120,NORMAL
Minibus-Yolu,16,73,NORMAL
Tem-Kavacik,9,11,HEAVY
E5-Bridge,6,99,NORMAL
Kadikoy-Center,9,32,NORMAL
Levent-Buyukdere,22,111,NORMAL
Haliç-Bridge,17,32,NORMAL
Levent-Buyukdere,13,103,NORMAL
Tem-Seyrantepe,11,114,NORMAL
Tem-Kavacik,23,85,NORMAL
E5-Bridge,22,82,NORMAL
Levent-Buyukdere,23,104,NORMAL
Kadikoy-Center,1,75,NORMAL
Levent-Buyukdere,18,8,HEAVY
Haliç-Bridge,6,96,NORMAL
